technology_1,timestep_2,scenario,parameter,value
hydro,h0001,highDemLowWind,stInflow,4.790300787
hydro,h0002,highDemLowWind,stInflow,1.251093216
hydro,h0003,highDemLowWind,stInflow,2.584691219
hydro,h0004,highDemLowWind,stInflow,1.44070042
hydro,h0005,highDemLowWind,stInflow,0.827734775
hydro,h0006,highDemLowWind,stInflow,0.807460114
hydro,h0007,highDemLowWind,stInflow,0.873889877
hydro,h0008,highDemLowWind,stInflow,0.792059852
hydro,h0009,highDemLowWind,stInflow,0.782309227
hydro,h0010,highDemLowWind,stInflow,0.78852169
hydro,h0011,highDemLowWind,stInflow,0.788011442
hydro,h0012,highDemLowWind,stInflow,0.777850533
hydro,h0013,highDemLowWind,stInflow,0.782524927
hydro,h0014,highDemLowWind,stInflow,0.771008253
hydro,h0015,highDemLowWind,stInflow,2.878437912
hydro,h0016,highDemLowWind,stInflow,0.933001302
hydro,h0017,highDemLowWind,stInflow,0.884112755
hydro,h0018,highDemLowWind,stInflow,0.918307198
hydro,h0019,highDemLowWind,stInflow,0.869976611
hydro,h0020,highDemLowWind,stInflow,0.861296645
hydro,h0021,highDemLowWind,stInflow,0.859791295
hydro,h0022,highDemLowWind,stInflow,0.852137347
hydro,h0023,highDemLowWind,stInflow,0.850142967
hydro,h0024,highDemLowWind,stInflow,0.847618765
hydro,h0025,highDemLowWind,stInflow,0.850615902
hydro,h0026,highDemLowWind,stInflow,0.849724716
hydro,h0027,highDemLowWind,stInflow,0.851507219
hydro,h0028,highDemLowWind,stInflow,0.845893774
hydro,h0029,highDemLowWind,stInflow,0.845494938
hydro,h0030,highDemLowWind,stInflow,0.845256697
hydro,h0031,highDemLowWind,stInflow,0.848206133
hydro,h0032,highDemLowWind,stInflow,0.872783349
hydro,h0033,highDemLowWind,stInflow,0.962217991
hydro,h0034,highDemLowWind,stInflow,0.877958606
hydro,h0035,highDemLowWind,stInflow,0.910547193
hydro,h0036,highDemLowWind,stInflow,0.96200857
hydro,h0037,highDemLowWind,stInflow,0.911560246
hydro,h0038,highDemLowWind,stInflow,0.841846694
hydro,h0039,highDemLowWind,stInflow,0.837259959
hydro,h0040,highDemLowWind,stInflow,0.837670916
hydro,h0041,highDemLowWind,stInflow,0.83611898
hydro,h0042,highDemLowWind,stInflow,0.835741568
hydro,h0043,highDemLowWind,stInflow,0.83443643
hydro,h0044,highDemLowWind,stInflow,0.835300023
